id,name,label
6184,"Tomatoes, canned products, whole, without salt",1
17104,"Veal, loin, separable lean and fat, raw",0
23213,"Beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",0
599,"Macaroni, spaghetti, whole meal, raw",1
11994,"Broccoli, chinese, raw",1
771,"Cheese, firm, Maribo, 45 % fidm.",0
14021,"Beverages,  Energy drink, Citrus",1
11591,"Watercress, raw",1
5147,"Goose, domesticated, meat and skin, cooked, roasted",0
10875,"Pork, cured, ham with natural juices, slice, bone-in, separable lean only, heated, pan-broil",0
12013,"Seeds, lotus seeds, dried",1
14189,"Beverages, The COCA-COLA company, Minute Maid, Lemonade",1
plant-based-104,Vegan Burger,1
97,"Chicken, hen, flesh only",0
20381,"Wheat flour, white, all-purpose, enriched, calcium-fortified",1
13070,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",0
17061,"Lamb, domestic, cubed for stew or kabob (leg and shoulder), separable lean only, trimmed to 1/4"" fat, cooked, broiled",0
13038,"Cheese, Parmesan",0
9241,"Peaches, canned, heavy syrup pack, solids and liquids",1
7008,"Bologna, beef and pork",0
8026,"Mushrooms, oyster mushrooms, raw",1
5734,"Turkey, retail parts, wing, meat and skin, raw",0
6151,"Sauce, plum, ready-to-serve",1
14405,"Fruit punch juice drink, frozen concentrate",1
17033,"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",0
09_0054,"Prawn, Giant river prawn, raw",0
23515,"Beef, chuck, clod roast, separable lean only, trimmed to 1/4"" fat, all grades, cooked, roasted",0
16129,"Tofu, fried",1
13396,"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, cooked, broiled",0
16097,"Peanut butter, chunk style, with salt",1
42240,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",1
9451,Horned melon (Kiwano),1
15095,"Biscuits, Sablé shortbread",1
8553,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Yogurt Burst, strawberry",1
10281,"Mollusks, short-necked clam*, raw
?*Syn. baby-neck clam, Manila clam, Japanese littleneck?",0
7091,"New england brand sausage, pork, beef",0
13812,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",0
16345,"Beans, pinto, mature seeds, canned, drained solids, rinsed in tap water",1
43245,"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",1
5052,"Chicken, broilers or fryers, back, meat and skin, cooked, stewed",0
255,"Cheese, firm, 20 % fidm., all varieties",0
12038,"Seeds, sunflower seed kernels, oil roasted, without salt",1
20038,Oats,1
10134,"Pork, cured, ham, boneless, extra lean (approximately 5% fat), roasted",0
650,"Cashew nuts, oil roasted",1
17252,"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",0
7026,"Ham, chopped, canned",0
1100,"Oil, rape seed (no eruca acid)",1
23440,"Beef, New Zealand, imported, oyster blade, separable lean and fat, raw",0
11782,"Dandelion greens, cooked, boiled, drained, with salt",1
8640,"Cereals, QUAKER, Instant Oatmeal Organic, Regular",1
11972,"Lemon grass (citronella), raw",1
11237,"Kanpyo, (dried gourd strips)",1
23359,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0
17249,"Lamb, domestic, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, choice, roasted",0
850,"Ice cream, dairy, popsickle, strawberry",0
15162,"Mollusks, clam, mixed species, canned, liquid",0
23657,"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, raw",0
23262,"Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",0
12110,"Nuts, coconut meat, dried (desiccated), sweetened, flaked, canned",1
plant-based-170,plant-powered,1
106,"Rabbit, flesh only, raw",0
12585,"Nuts, cashew nuts, dry roasted, with salt added",1
17185,"Lamb, variety meats and by-products, brain, raw",0
6218,"Carrot, ""Kintoki"" (oriental type), root with skin, raw",1
10870,"Pork, cured, ham and water product, slice, boneless, separable lean only, heated, pan-broil",0
5643,"Ostrich, fan, raw",0
551,"Beef brisket, soaked in brine",0
8074,"Cereals ready-to-eat, RALSTON TASTEEOS",1
8273,"Cereals ready-to-eat, GENERAL MILLS, BOO BERRY",1
1033,"Cheese, parmesan, hard",0
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",0
15154,"Crustaceans, spiny lobster, mixed species, raw",0
529,"Bread, wholemeal",1
17069,"Lamb, New Zealand, imported, fore-shank, separable lean and fat, cooked, braised",0
12176,"Nuts, coconut milk, frozen (liquid expressed from grated meat and water)",1
16370,"Lentils, mature seeds, cooked, boiled, with salt",1
6314,"Lettuce, green leaf lettuce, leaves, raw",1
10076,"Pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, roasted",0
9045,"Algae,  ""Wakame"", blanched and salted products, desalted",0
12003,"Seeds, breadfruit seeds, boiled",1
03_0018,"Gourd, pointed, raw",1
16156,"Peanut butter, chunky, vitamin and mineral fortified",1
6,"Duck, flesh and skin, raw",0
10342,"Mollusks, neon flying squid, raw",0
62,"Pumpkin, canned",1
8028,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flakes",1
13910,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0
11280,"Okra, frozen, unprepared",1
10945,"Pork, fresh, enhanced, shoulder, (Boston butt), blade (steaks), separable lean only, cooked, braised",0
9258,"Pears, canned, extra heavy syrup pack, solids and liquids",1
17008,"Lamb, domestic, foreshank, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised",0
8003,"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS",1
544,"Sausage, beef salami",0
13807,"Beef, brisket, point half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0
14416,"Beverages, Carbonated beverage, low calorie, cola or pepper-type, with aspartame, contains caffeine",1
11570,"Turnip greens, canned, solids and liquids",1
11068,"Beef, imported beef, rib loin, without subcutaneous fat, raw",0
10113,"Pork, fresh, variety meats and by-products, lungs, cooked, braised",0
769,"Cheese, firm, Danbo, 45 % fidm.",0
1150,"Raspberry juice, concentrated, sugar not added",1
11181,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, without salt",1
660,"Kohlrabi, raw",1
14241,"Cranberry-grape juice drink, bottled",1
9304,"Raspberries, canned, red, heavy syrup pack, solids and liquids",1
133,"Chervil, raw",1
17040,"Lamb, domestic, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4"" fat, choice, cooked, braised",0
13369,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",0
20022,"Cornmeal, degermed, enriched, yellow",1
15013,"Traditional confectionery, ""Gyuhi"" (kneaded glutinous rice flour with sugar, steamed)",1
23049,"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",0
6093,"Sweet peppers, ""Shishito"", fruit, raw",1
10317,"Mollusks, keen's gaper, siphon, raw",0
13876,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",0
75,"Horse, meat, raw",0
5177,"Turkey, liver, all classes, raw",0
05_0008,"Sweet potato, skin purple, flesh pale-yellow, raw (without skin)",1
5109,"Chicken, roasting, meat and skin and giblets and neck, raw",0
12175,"Nuts, chestnuts, japanese, dried",1
13023,"Beef, brisket, whole, separable lean only, all grades, raw",0
11423,"Pumpkin, cooked, boiled, drained, without salt",1
8354,"Cereals ready-to-eat, QUAKER, MOTHER'S GRAHAM BUMPERS",1
15151,"Crustaceans, shrimp, mixed species, cooked, moist heat (may have been previously frozen)",0
4654,"Oil, industrial, soy (partially hydrogenated)  and cottonseed, principal use as a tortilla shortening",1
13892,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",0
08_0002,"Apple, with skin, raw",1
14160,"Alcoholic beverage, wine, table, white, Chardonnay",1
7064,"Pork sausage, link/patty, cooked, pan-fried",0
8040,"Mushrooms, ""Shiitake"", bed-log cultivation, fresh, boiled",1
1467,"Bread, wheat with rye, sandwich/toast type, high fat seeds, industrial",1
13050,Cheese whey powder,0
13872,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",0
23617,"Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, choice, raw",0
8628,"Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal",1
12129,"Nuts, ginkgo nuts, canned",1
16320,"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",1
11071,"Beef, imported beef, sirloin, lean and fat, raw ",0
8309,"Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY CRUNCH CORN FLAKES",1
4584,"Oil, sunflower, high oleic (70% and over)",1
10138,"Pork, cured, ham, extra lean (approximately 4% fat), canned, roasted",0
877,"Crab claws, meat, raw",0
11370,"Potatoes, hash brown, home-prepared",1
11112,"Cabbage, red, raw",1
14647,"Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit juice, high vitamin C, added calcium",1
10322,"Crustacean, Kuruma prawn, cultured, boiled",0
31014,"PACE, Jalapenos Nacho Sliced Peppers",1
23282,"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0
13958,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, raw",0
8034,"Cereals ready-to-eat, POST, FRUITY PEBBLES",1
plant-based-44,Plant-Based Semi Milk ,1
23302,"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean and fat, raw",0
17053,"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled",0
54,"Mutton, round, raw",0
23146,"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",0
16095,"Peanuts, virginia, raw",1
01_0019,"Rice, bran, raw",1
23404,"Beef, New Zealand, imported, chuck eye roll, separable lean only, raw",0
11768,"Collards, cooked, boiled, drained, with salt",1
5744,"Turkey, back, from whole bird, enhanced, meat and skin, raw",0
363,"Cheese, semihard, Feta, 40 % fidm",0
234,"Cabbage, red, raw",1
7209,"OSCAR MAYER, Chicken Breast (honey glazed)",0
13322,"Beef, variety meats and by-products, heart, cooked, simmered",0
04_0016,"Dima leaves, raw",1
11091,"Broccoli, cooked, boiled, drained, without salt",1
13438,"Beef, round, top round, separable lean only, trimmed to 0"" fat, select, cooked, braised",0
16341,"Beans, pink, mature seeds, cooked, boiled, with salt",1
5717,"Turkey, retail parts, thigh, meat only, raw",0
16080,"Mung beans, mature seeds, raw",1
9066,"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",1
1161,"Rice, bran",1
12071,"Nuts, almond paste",1
16101,"Pigeon peas (red gram), mature seeds, raw",1
14135,"Alcoholic beverage, wine, table, white, late harvest",1
11256,"Beef, crossbred (Holstein×Japanese black) steer, rib loin, lean and fat, boiled",0
14617,"V8 SPLASH Juice Drinks, Strawberry Banana",1
17023,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",0
23615,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised",0
11447,"Sesbania flower, raw",1
17238,"Lamb, domestic, loin, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",0
23430,"Beef, New Zealand, imported, ribs prepared, cooked, fast roasted",0
16436,"Winged beans, mature seeds, cooked, boiled, with salt",1
17001,"Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, raw",0
11850,"Radishes, oriental, cooked, boiled, drained, with salt",1
17272,"Veal, breast, whole, boneless, separable lean and fat, cooked, braised",0
17110,"Veal, rib, separable lean and fat, raw",0
7923,"Bratwurst, chicken, cooked",0
1036,"Cheese, ricotta, whole milk",0
11569,"Turnip greens, cooked, boiled, drained, without salt",1
11076,"Beef, imported beef, inside round, without subcutaneous fat, raw",0
2045,"Dill weed, fresh",1
17323,"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",0
11829,"Potatoes, baked, flesh, with salt",1
23503,"USDA Commodity, beef, patties (100%), frozen, cooked",0
7160,"Strawberries, dried",1
23444,"Beef, New Zealand, imported, variety meats and by-products, tripe cooked, boiled",0
5061,"Chicken, broilers or fryers, breast, meat and skin, cooked, stewed",0
571,"Danish pastry, pretzel",1
8249,"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, no salt",1
17418,"Lamb, New Zealand, imported, tenderloin, separable lean and fat, cooked, fast fried",0
6077,"Watercress, stems and leaves, raw",1
10201,"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, broiled",0
13862,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0
408,"Sherry, dry",1
238,Pearl-sago (potato starch),1
8286,"Cereals ready-to-eat, KELLOGG, KELLOGG'S MUESLIX",1
11796,"Lotus root, cooked, boiled, drained, with salt",1
11424,"Pumpkin, canned, without salt",1
687,"Bean, adzuki, sprouted, raw",1
4042,"Oil, peanut, salad or cooking",1
14097,"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",1
10344,"Mollusks, golden cuttlefish*, raw
?*Syn. cuttlefish?",0
31025,"Sweet Potato puffs, frozen, unprepared",1
11230,"Pepeao, dried",1
23580,"Beef, ground, 75% lean meat / 25% fat, crumbles, cooked, pan-browned",0
plant-based-97,Plant Based Vegan Spread Triangles,1
1011,"Cheese, colby",0
23001,"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0
14173,"Beverages, coffee, ready to drink, vanilla, light, milk based, sweetened",1
06_0006,"Coconut, mature kernel",1
14544,"Beverages, tea, black, brewed, prepared with distilled water",1
12099,"Nuts, chestnuts, european, dried, unpeeled",1
06_0011,"Lotus seeds, green",1
11867,"Squash, winter, butternut, frozen, cooked, boiled, with salt",1
12147,"Nuts, pine nuts, dried",1
14368,"Beverages, tea, instant, lemon, unsweetened",1
918,"Pork, legmuscles without knuckle, lean, raw",0
9261,"Pears, dried, sulfured, stewed, with added sugar",1
10917,"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted",0
17067,"Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable fat, cooked",0
8144,"Cereals, whole wheat hot natural cereal, dry",1
03_0005,"Brinjal, purple, long, raw",1
533,"Crispbread, knackebrot, wheat, fine",1
9174,"Loquats, raw",1
11376,"Potatoes, canned, drained solids",1
17316,"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, raw",0
12198,"Seeds, sesame butter, tahini, from raw and stone ground kernels",1
1130,"Egg, whole, cooked, omelet",0
1559,"Non-alcoholic beverage (light), concentrated (1+10), sugar not added",1
6131,"Japanese radishes, Daikon, leaves, boiled",1
15105,"Candy, caramel soft candy",1
8694,"Cereals, QUAKER, Instant Oatmeal, weight control, cinnamon",1
23421,"Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled",0
15010,"Traditional confectionery, ""Kanoko"" (red bean jelly wrapped with red bean paste, red bean compote and agar)",1
23401,"Beef, New Zealand, imported, brisket navel end, separable lean only, raw",0
8363,"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Toasted Wheat Bran",1
plant-based-210,Vegan Ice Cream,1
6351,"Welsh onions, ""Nebuka-negi"" (large variety, blanching cultivation), leaves, sautéed",1
23004,"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0
23167,"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, raw",0
16052,"Broadbeans (fava beans), mature seeds, raw",1
13392,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",0
10878,"Pork, cured, ham -- water added, slice, boneless, separable lean only, heated, pan-broil",0
23269,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",0
8073,"Cereals ready-to-eat, POST, GOLDEN CRISP",1
17265,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, cooked, braised",0
23547,"Beef, chuck, mock tender steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0
05_0014,"Sweet potato, white flesh, boiled* (without salt)",1
103,"Coffee bean, roasted, ground",1
11298,"Parsnips, raw",1
14635,"Beverages, vegetable and fruit juice blend, 100% juice, with added vitamins A, C, E",1
10298,"Mollusks, pen shell*, adductor muscle, raw
?*Syn. comb pen shell?",0
plant-based-171,no animal ingredients,1
783,"Cheese, semihard, Esrom, 45 % fidm.",0
9511,"Fruit juice smoothie, NAKED JUICE, BLUE MACHINE",1
23245,"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, raw",0
08_0028,"Monkey-jack, yellowish-orange flesh, raw",1
14108,"Alcoholic Beverage, wine, table, red, Sangiovese",1
23078,"Beef, chuck eye steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0
1267,"Cheese, mexican, queso cotija",0
4649,"Shortening, industrial, soy (partially hydrogenated), pourable liquid fry shortening",1
11431,"Radishes, oriental, cooked, boiled, drained, without salt",1
01_0024,"Rice, white, sunned, aromatic, raw ",1
11868,"Squash, winter, hubbard, baked, with salt",1
6292,"Bean sprouts, mung bean sprouts, boiled",1
13054,"Yogurt, fat free, unsweetened",0
1093,"Milk, dry, nonfat, calcium reduced",0
11083,"Beef, imported beef, rump, without subcutaneous fat, raw",0
1291,"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",0
288,"Pig, fat",0
10935,"Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",0
17297,"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, cooked, roasted",0
15075,"Cake and pastry, layered cream cake",1
13520,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0
10025,"Pork, fresh, loin, whole, separable lean only, cooked, braised",0
23392,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",0
8277,"Cereals ready-to-eat, GENERAL MILLS, NATURE VALLEY LOW FAT FRUIT GRANOLA",1
11069,"Beef, imported beef, rib loin, lean, raw",0
14234,"Beverages, OCEAN SPRAY, Cran Lemonade",1
23343,"Beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",0
23188,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0
10871,"Pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted",0
16102,"Pigeon peas (red gram), mature seeds, cooked, boiled, without salt",1
11832,"Potatoes, boiled, cooked in skin, skin, with salt",1
plant-based-185,vegan cheese,1
13825,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",0
7116,"Grapes, raw",1
plant-based-68,Soya Light Plant-Based Chilled Drink,1
09_0058,"Prawn, Monsoon river prawn, raw",0
13356,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, all grades, raw",0
17047,"Lamb, domestic, shoulder, arm, separable lean only, trimmed to 1/4"" fat, choice, raw",0
1026,"Cheese, mozzarella, whole milk",0
6011,"Kidney beans, ""Sayaingen"", immature pods, boiled",1
20137,"Quinoa, cooked",1
11587,"Vinespinach, (basella), raw",1
141,"Lamb, leg, average values, raw",0
6338,"CAMPBELL'S, Cream of Mushroom Soup, condensed",1
2064,"Peppermint, fresh",1
16049,"Beans, white, mature seeds, raw",1
11533,"Tomatoes, red, ripe, canned, stewed",1
12009,"Eggs, hen,  whole, dried",0
17187,"Lamb, variety meats and by-products, brain, cooked, pan-fried",0
10034,"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, broiled",0
plant-based-74,Vegan Vanilla Custard Powder,1
6095,"Perilla, ""Shiso"", leaves, raw",1
10205,"Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised",0
11657,"Potatoes, mashed, home-prepared, whole milk added",1
17442,"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean only, trimmed to 1/8"" fat, cooked, roasted",0
14548,"Beverages, tea, instant, lemon, with added ascorbic acid",1
07_0016,"Nutmeg, dried",1
08_0024,"Lychee, raw",1
23406,"Beef, New Zealand, imported, cube roll, separable lean only, cooked, fast roasted",0
14311,"Beverages, Malted drink mix, natural, powder, dairy based.",1
463,"Sesame seed, decorticated",1
17116,"Veal, shoulder, whole (arm and blade), separable lean and fat, raw",0
7955,"Turkey sausage, fresh, raw",0
14091,"Beverages, almond milk, unsweetened, shelf stable",1
1200,Reddi Wip Fat Free Whipped Topping,0
17400,"Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean only, cooked, fast fried",0
17354,"Lamb, New Zealand, imported, Intermuscular fat, cooked",0
14132,"Alcoholic beverage, wine, table, white, Riesling",1
5058,"Chicken, broilers or fryers, breast, meat and skin, cooked, fried, batter",0
16347,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",1
1010,"Cheese, cheshire",0
539,"Rye-flour, wheat-flour, bolted",1
08_0033,"Palmyra palm, cotyledon, raw",1
14282,"Grape juice drink, canned",1
11801,"Mustard spinach, (tendergreen), cooked, boiled, drained, with salt",1
23278,"Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0
12122,"Nuts, hazelnuts or filberts, dry roasted, without salt added",1
7915,"Sausage, Polish, beef with chicken, hot",0
11991,"Yautia (tannier), raw",1
23069,"Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",0
14269,"Beverages, Fruit punch drink, frozen concentrate, prepared with water",1
14557,"Beverages, Chocolate-flavor beverage mix for milk, powder, with added nutrients",1
13339,"Beef, variety meats and by-products, tongue, raw",0
6154,"Onions, bulb, bleached in water",1
16053,"Broadbeans (fava beans), mature seeds, cooked, boiled, without salt",1
775,"Cheese, firm, Danbo, 30 % fidm.",0
5697,"Turkey from whole, enhanced, light meat, meat only, cooked, roasted",0
98,"Chicken, hen, flesh and skin, raw",0
13319,"Beef, variety meats and by-products, brain, cooked, pan-fried",0
634,"Persimmon, kaki fruit, raw",1
672,"Endive (frisee), raw",1
11880,"Taro, shoots, cooked, with salt",1
682,"Lentils, sprouted, raw",1
17448,"Lamb, Australian, imported, fresh, rack, roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, roasted",0
14054,"Beverages, almond milk, chocolate, ready-to-drink",1
12120,"Nuts, hazelnuts or filberts",1
11525,"Taro, tahitian, raw",1
7105,"Citrus, ""Hassaku"", juice sacs, raw",1
16392,"Peanuts, spanish, oil-roasted, without salt",1
23183,"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, choice, raw",0
11950,"Mushrooms, enoki, raw",1
5673,"Chicken, skin (drumsticks and thighs), cooked, braised",0
12001,"Seeds, breadfruit seeds, raw",1
1067,"Coffee, instant, prepared with water",1
11480,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",1
6252,"Turnip, ""Hinona"", root with top portion, raw",1
9283,"Plums, canned, purple, light syrup pack, solids and liquids",1
11398,"Potato puffs, frozen, unprepared",1
23084,"Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",0
5718,"Turkey, breast, from whole bird, enhanced, meat only, roasted",0
11062,"Beans, snap, green, frozen, all styles, microwaved",1
7074,"Smoked link sausage, pork",0
5354,"USDA Commodity, turkey taco meat, frozen, cooked",0
16338,"Beans, navy, mature seeds, cooked, boiled, with salt",1
07_0015,"Mace, ground",1
6069,"Cucumber, fruit, pickles, sweet type (pickled with seasoned vinegar) ",1
14020,"Margarine, soft type, home use",1
7960,"Bologna, chicken, pork",0
10071,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",0
19883,"Ice creams, BREYERS, No Sugar Added, Vanilla Fudge Twirl",0
16051,"Beans, white, mature seeds, canned",1
17097,"Veal, leg (top round), separable lean and fat, cooked, pan-fried, not breaded",0
16174,"Tempeh, cooked",1
17274,"Veal, breast, point half, boneless, separable lean and fat, cooked, braised",0
179,"Tangerine, raw",1
17112,"Veal, rib, separable lean and fat, cooked, roasted",0
6336,"Onions, bulb, sautéed",1
101,"Jerusalem artichoke, raw",1
383,"Jam, fruit, average values",1
plant-based-26,Vegan No Chicken Nuggets,1
17124,"Veal, shoulder, arm, separable lean and fat, cooked, roasted",0
11_0004,"Egg, duck, whole, raw",0
6320,"Green onion, ""Wakegi"", leaves, raw",1
