name,label
"Vegan Alternative to Cheese ",1
Vegan Butter Alternative,1
"Vegan Classic Ice Creams ",1
Vegan Creamy Coconut Bar with Dark Chocolate,1
Vegan Cookie Dough Ice Cream Tub,1
Non-Dairy & Vegan Choc Fudge Brownie Ice Cream Tub,1
"Veggie Tomato & Vegan Cheddar Flavour Bites ",1
"Vegan Alternative to Cheese ",1
Plant Based Coleslaw,1
Vegan Plant Based Pancake Shaker,1
Plant Based Strawberry & Pomegranate,1
Plant-Based Vegan Snacks,1
Belgian Chocolate Vegan Fudge,1
Plant-Based Popcorn Chick'n,1
Hazelnut Plant-Based Chilled Drink,1
Almond Based Plant Based Iced Coffee,1
Plant Based Oat Kefir Strawberry,1
Plant Based Chunky Vegetable Curry,1
Chocolate Soya Plant-Based Chilled Drink,1
Oat Plant-Based Chilled Drink,1
Vegan Strawberry Jelly,1
Soya Light Plant-Based Chilled Drink,1
"Plant Based Crunchy Chocolate Balls ",1
Original Vegan Fudge,1
Plant Based Oat Kefir Mango,1
Plant Based Mexican Mixed Bean Chilli,1
Plant-Based Original Hot Dogs,1
Vegan Vanilla Custard Powder,1
Almond Plant-Based Chilled Drink,1
Vegan Hazelnut Truffle Bar with M'lk Chocolate,1
Soya Plant-Based Chilled Drink,1
Vegan Vanilla Flavoured Marshmallows,1
Vegan Braised Seitan Slices,1
Plant-Based Burger,1
Vegan Aquafaba Egg Substitue,1
Vegan Tuno in Spring Water,1
Vegan Instant Silky & Smooth Hot Chocolate Drink,1
Vegan Tuno in Thai Sweet Chilli,1
Plant Based Spinach Noodles,1
Plant Based Beetroot Noodles,1
Vegan Gluten Free Chocolate Macaroons,1
Vegan Canapé Bundle,1
Plant-Based/Vegan Garlic & Herbs,1
Plant Based Spaghetti Bolognese,1
"Plant Based Vanilla Rice pudding ",1
"Plant Based Chocolate Rice pudding ",1
Vegan Raspberry Swirl,1
Peppernomi Plant-Based Pizza,1
"Plant-Based Quiche Lorraine ",1
Plant-Based Tea Bags,1
Plant Based Vegan Spread Triangles,1
Plant Based Veggie Lasagne,1
Plant Based Berry Burst Porridge Pot,1
Plant Based Nutty & Seedy Porridge Pot,1
Plant Based Smoky Bean & Chipotle Chilli Cooking Sauce,1
Oat Based Vanilla Macchiato Plant Based Iced Coffee,1
Plant Based Chick'n Burgers,1
Vegan Burger,1
Vegan No Steak & Gravy Puff Pastry Pie,1
Coconut Based Cocoa Cappuccino Plant Based Iced Coffee,1
Plant-Based Tea Bags,1
Vegan Korma Cooking Sauce,1
Plant Based Meat-Free Burgers,1
Green Cuisine Vegan Burgers,1
Vegan Chocolate Dipped Strawberry,1
Vegan Chocolate Cake,1
Margherita Pomodori Vegan Pizza,1
Vegan Carrot Cake,1
Plant Based Gingerbread Flavour Loaded Choc Slab,1
Roarsomes Vegan Dinosaurs,1
Plant Based Meat-Free Mince,1
Stork Vegan Baking Block,1
Plant Based Veggie Burgers,1
Plant Based Spicy Bean Burgers,1
Vegan Falafels,1
Plant Based Spiced Bean Burgers,1
Plant Based No Pigs in Blankets,1
Vegan Organic Authentic Tofu,1
Vegan Grated Deliciously Smoky Melts Beautifully,1
Plant Based Lentil Cottage Pie,1
"Plant Based Double Choc & Hazelnut Cookies ",1
Dairy Free & Vegan White Chocolate Snowman,1
Plant Based Spaghetti and Veggie Balls,1
"Southern Fried Vegan Goujons ",1
Vegan Organic Marinated Tofu Pieces,1
Plant Based Smoky Tofu Burrito,1
Vegan Medium Stuffed Sticky BBQ Jackfruit Pizza,1
Vegan Hazelnut Praline Bars with Dark Chocolate,1
Vegan Mayo,1
Vegan Choc Flavour Spread,1
Plant Based 16 Veggie Fingers,1
Vegan Mini Pink & White Mallows,1
Vegan Handmade Salted Maple Flavour Fudge,1
Deliciously Vegan 4 Chocolate Orange Crispy Slices,1
Vegan Margherita Pizza,1
Vegan Thin Stonebaked Vegetable Feast Vegan Pizza,1
Vegan Roasted Veg & Houmous Pizza,1
Vegan Basil Pesto,1
Vegan Sweet Potato Coconut Curry,1
"Vegan Mushroom Wellington ",1
Vegan Silky Salted Caramel,1
Vegan Sunflower Spread,1
"Vegan 3 Classic Choc ",1
Vegan Sweet Potato Katsu Curry,1
Vegan No Chorizo Slices,1
Naked Vegan Tofu,1
Vegan Smoked Tofu,1
"Plant Based Vegan Faux'jita Mexican Style Salad ",1
"Plant Based Espresso Martini Flavour Loaded Choc Bar ",1
Plant-Based Sausages,1
Plant Based  Meat-Free Bacon Style Rashers,1
Meat Free Vegan Chicken Flavour Stock Cubes,1
Vegan Beef Flavoured Stock Cubes,1
Mock Duck Vegan Seitan in Gravy,1
"Plant Based Meat-Free Chorizo Inspired Sausages ",1
Vegan Chicken & Mushroom Pie,1
Plant Based 4 Meat-Free Sausage Rolls,1
vegan,1
plant-based,1
plant based,1
vegetarian,1
cruelty-free,1
animal-free,1
plant-powered,1
no animal ingredients,1
vegetable-based,1
herbivore-friendly,1
ethical eating,1
whole foods,1
plant-derived,1
plant-forward,1
plant-centric,1
cruelty-free,1
plant extracts,1
non-animal,1
soy milk,1
almond milk,1
coconut milk,1
vegan cheese,1
Plant-Based,1
Dairy-Free,1
Vegan,1
Vegetarian,1
Alternative,1
Substitute,1
Non-Dairy,1
Milk Alternative,1
Cheese Alternative,1
Butter Substitute,1
Yogurt Alternative,1
Cream Substitute,1
Ice Cream Alternative,1
Non-Dairy Milk,1
Non-Dairy Cheese,1
Non-Dairy Butter,1
Non-Dairy Yogurt,1
Non-Dairy Cream,1
Non-Dairy Ice Cream,1
Vegan Milk,1
Vegan Cheese,1
Vegan Butter,1
Vegan Yogurt,1
Vegan Cream,1
Vegan Ice Cream,1
Plant Milk,1
Nut Milk,1
Soy Milk,1
Almond Milk,1
Coconut Milk,1
Rice Milk,1
Oat Milk,1
Cashew Milk,1
Hemp Milk,1
Flax Milk,1
Pea Milk,1
Quinoa Milk,1
Sunflower Milk,1
Dairy Alternative,1
Non-Dairy Option,1
Vegan Option,1
Plant-Based Option,1
